id,rating,text,date,version,platform
dbd168b1-1896-4202-ba38-58f7855eeee3,1,maha chor maha raddi Maine limo me report ke liye 100 coin rs 100 me purchase Kiya magar sirf limo me enter karne per balance Zero kar diya aur report ke liye submit karne per insufficient coin dikhaya. paise bhi gaye aur report bhi nahin diya.,2025-10-12,1.3.5,Android
48d5ae41-494a-411e-bc11-dc6a67463ced,5,tata motors,2025-10-11,1.3.5,Android
d95687e0-b447-45c4-8830-60918a38a849,1,ridiculous ..,2025-10-11,1.3.5,Android
18dc3912-bd44-404c-b73a-501a4d02d888,5,nice,2025-10-11,1.3.5,Android
128eee50-a7fe-479a-b5fd-e6053263e311,5,it's good,2025-10-11,1.3.9,Android
cd363aef-ccda-4140-b3be-c926033b547d,1,I won't recommend it. I have invested in 5 of their suggestions 2 hit stop loss and others are around 15% loss. Everytime I try to login grow it tells to logout and login again when I do it tells your device is not registered. what does that even mean. Save your money and stay away from this app.,2025-10-10,1.3.5,Android
6458d24a-cba0-4d87-ace2-4a12101f20cb,5,amazing app h,2025-10-09,1.3.9,Android
1e6b2bf4-c7ce-4ea9-80e6-733d5384296b,5,"it was amazing, I used this app and it was so easy to use and fantastic, The experience was amazing.",2025-10-09,unknown,Android
a54d95b4-5361-4ba2-96b9-7f84f854448d,5,Liquide is very helpful app for stocks and mutual funds investors.,2025-10-09,1.3.5,Android
112af0d2-77ba-4beb-95e7-5ac200435449,5,I am a beginner and their advice helped me a lot in creating wealth. Best stock recommendations.,2025-10-09,1.3.9,Android
ffd37810-6c83-4255-b0a3-25b6e8e578eb,5,Very Nice,2025-10-09,1.3.5,Android
82a326a7-357f-455e-9981-e1d40fe21e7f,5,great,2025-10-09,1.3.5,Android
29c0665f-9fdc-4df3-9e8a-1b2b4b2c6675,5,This is the best app for instant stock research.,2025-10-09,1.3.5,Android
a0d92bde-2427-459c-ba8c-a372ff3404f4,5,Best app for Stock recommendation and stock card insights,2025-10-09,1.3.5,Android
1f08dcac-27d2-4934-9866-19d519ac3f1a,5,Highly recommended for anyone wanting clarity in the stock market,2025-10-09,1.3.9,Android
490fa498-b792-4d68-aad6-8a4723325774,5,This app is very genuine as it gives Best Stock Recommendation. If anyone wants to grow his wealth then surely it is a perfect platform for u.,2025-10-09,1.3.5,Android
e1b5c8cc-a026-4a5f-9955-992109c799ef,5,best app for stock market,2025-10-09,1.3.5,Android
8c2914ab-a431-449d-b160-71684493d461,5,best trade recommendation and best recommendations,2025-10-09,unknown,Android
391d4c96-b10e-4296-9b82-f3fbdc59cdd4,5,best trade recommend plate from and trust worthy experience,2025-10-09,1.3.5,Android
3d1a02d8-acbf-43b7-9944-5a43eb99639c,5,It is the best stock recommendation.It works really well.,2025-10-09,1.3.5,Android
e84bba40-db93-4298-a74b-69535d423281,5,best stock recommendations,2025-10-09,unknown,Android
09bb4259-3700-4f3f-8405-eec380c7f5d5,5,Great app for growing my wealth with smart trade recommendations and clear stock card insights,2025-10-09,1.3.5,Android
64393364-c9b7-493a-9781-ef49a854a555,5,excellent app for wealth building quick instant stock research,2025-10-09,1.3.5,Android
34f791b5-9fd5-4239-bd2e-d9c23eaec215,5,gives good stock card insights,2025-10-09,1.3.5,Android
5d9d4bb5-9de2-42ce-a994-cac46fdb0824,5,"Excellent app for wealth building! Quick instant stock research, great stock card insights, and very accurate trade recommendations.",2025-10-09,1.3.5,Android
491611d3-171c-4e1a-9c45-28615e9eaeb7,5,best app for stock recommendations,2025-10-09,unknown,Android
09fd51a5-f105-4c4a-b507-0bb24d46cb59,5,gives best trade recommendation,2025-10-09,1.3.9,Android
e2026b25-0568-4506-a7bc-8cb4366c3ce4,5,"It is a very good app for stock exchange recommendations, very helpful and convenient...",2025-10-09,1.3.5,Android
8c6fab9e-922d-45be-b5fa-fba9accf42aa,5,best app for stock recommendations,2025-10-09,unknown,Android
313657ab-c7d9-4573-9cef-1caa8c725d78,5,"3. “One of the best stock recommendation apps I’ve used — quick, clear, and effective.”",2025-10-09,1.3.5,Android
